"Area","Cod","Ind","Anno","Mese","Val"
"ITA","00000","1600",2009,2,76948844.13
"ITA","00000","1700",2009,2,616929355.14
"ITA","00000","1800",2009,2,336735704.99
"ITA","00000","1900",2009,2,13023874058.76
"ITA","00000","1100",2009,3,15668972062.18
"ITA","00000","1200",2009,3,18091811069.18
"ITA","00000","1300",2009,3,18712784378.82
"ITA","00000","1400",2009,3,15047998752.54
"ITA","00000","1500",2009,3,2213556227.49
"ITA","00000","1600",2009,3,67255330.72
"ITA","00000","1700",2009,3,297434748.14
"ITA","00000","1800",2009,3,65868950.59
"ITA","00000","1900",2009,3,12333012347.11
"ITA","00000","1100",2009,4,15653292865.49
"ITA","00000","1200",2009,4,22729817799.94
"ITA","00000","1300",2009,4,24810535649.01
"ITA","00000","1400",2009,4,13572575016.42
"ITA","00000","1500",2009,4,2377538281.2
"ITA","00000","1600",2009,4,68480243.15
"ITA","00000","1700",2009,4,235216963.85
"ITA","00000","1800",2009,4,35069372.36
"ITA","00000","1900",2009,4,10469534576.19
"ITA","00000","1100",2009,5,15671924869.36
"ITA","00000","1200",2009,5,29430572606.99
"ITA","00000","1300",2009,5,30800706943.51
"ITA","00000","1400",2009,5,14301790532.84
"ITA","00000","1500",2009,5,2161907869.61
"ITA","00000","1600",2009,5,72919359.07
"ITA","00000","1700",2009,5,389135190.54
"ITA","00000","1800",2009,5,352931954.91
"ITA","00000","1900",2009,5,11913788314.91
"ITA","00000","1100",2009,6,15694866838.28
"ITA","00000","1200",2009,6,39435877319.19
"ITA","00000","1300",2009,6,39898694626.3
"ITA","00000","1400",2009,6,15232049531.17
"ITA","00000","1500",2009,6,3137422044.19
"ITA","00000","1600",2009,6,199731689.76
"ITA","00000","1700",2009,6,662224811.68
"ITA","00000","1800",2009,6,89356896.16
"ITA","00000","1900",2009,6,11849536133.58
"ITA","00000","1100",2009,7,14448199571.49
"ITA","00000","1200",2009,7,42455916230.49
"ITA","00000","1300",2009,7,42972808259.75
"ITA","00000","1400",2009,7,13931307542.23
